name,price
"Acer Aspire 5 Gold 8GB/256GB SSD; 14"" Screen Laptop","Rs. 75,498"
Dell Inspiron 15 5510 - i5-11300H | 8GB RAM | 256GB SSD | Intel® Iris® Xe Graphics | FHD | Win| Office,"Rs. 96,485"
ASUS Laptop 15 X515EA,"Rs. 69,500"
"Lenovo IdeaPad L3 15ITL6 Celeron 10th Gen / 4GB RAM / 256GB SSD / 15.6"" FHD Display","Rs. 48,000"
Dell Inspiron 3501 i3  10th Gen  4GB RAM  256GB SSD  15.’’6 FHD,"Rs. 62,000"
Laptop Acer Aspire 3 A315-56-53WP i5 10th Gen-4GB-1TB,"Rs. 69,700"
"HP Victus 15 Intel Core i5 13th Generation 8GB Ram 512GB SSD 4GB Rtx 2050 Graphics 15.6""FHD IPS Display","Rs. 126,000"
"Lenovo ideapad 3 Core i3 11th Gen 3.0 GHZ, 8GB RAM, 256GB SSD, 2GB Shared Graphics, 15.6"" FHD Display, Windows 11 Genuine, Backlit Keyboard, Fingerprint Sensor","Rs. 54,900"
Laptop Lenovo IP3 14IGL05 Celeron-4GB-1TB,"Rs. 45,000"
Dell Inspiron 5406 2 in 1  Core i5  11th Gen   8GB RAM  256 GB SSD  14” FHD X360 Touch Display,"Rs. 100,000"
"Acer Aspire 5 A515-56-363A, 15.6"" Full HD IPS Display, 11th Gen Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB NVMe SSD, WiFi 6, Backlit Keyboard, Windows 10 Home","Rs. 64,000"
"HP EliteBook 835 G8 /AMD Ryzen™ 7 PRO 5850U/512GB SSD/16GB RAM/13.3"" FHD TOUCHSCREEN /WIN10 Pro","Rs. 115,499"
Dell Inspiron 5510 i5-11th Gen 8GB RAM/ 512GB SSD/ NVIDIA® GeForce® MX450 With 2GB GDDR5 VRAM/ Fingerprint sensor,"Rs. 115,000"
"Dell Vostro 3510 i3 11th Gen 8GB Ram 256Gb Ssd 15.6"" HD Display","Rs. 61,990"
Lenovo IdeaPad 1 14IAU7 Intel 12 Generation I3 Processor| 4 GB RAM | 128 GB SSD | Grey Color - OTE,"Rs. 55,000"
"Lenovo V14 G2 ITL 82KA00KNUS 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) 2.40 GHz - 8 GB RAM - 256 GB SSD - Black","Rs. 71,999"
"Dell Gaming -3590 G3/ 9th Gen Core i5-9300H/8GB/512GB SSD/Windows 10/4GB NVIDIA 1650 Graphics), Black /15.6-inch","Rs. 100,000"
HP Laptop 15S-FQ5295NIA | INTEL i5 12th Gen | 8GB DDR4 RAM | 512GB SSD | 15.6 INCH FHD SCREEN | BACKLIT KB,"Rs. 74,999"
Dell Vostro 3510 | i5-1135G7 | 8GB | 512GB SSD | Nvidia MX350-2GB,"Rs. 107,000"
"Asus 2023 Zenbook Space Edition Oled Ux5401Zas-Kn030W - New 14 Inch,32Gb/1Tb,Intel Core I7","Rs. 272,222"
"Acer Swift 3 i7-1165g7 8Gb Ram 256Gb SSD 14"" FHD IPS Display","Rs. 96,500"
Dell Vostro i5-1135G7 Processor  /8GB RAM / Storage  512GB NVMe /Intel Iris Xe/15.6-inch FHD (1920x1080) Anti-Glare LED-Backlit Display.,"Rs. 99,900"
Acer Aspire 5 A515 Ryzen 5-5500U  8 GB RAM  512 GB SSD  15.6 inch FHD Display FPR   Backlit Keyboard,"Rs. 105,000"
"Acer Aspire 5 2021 11th Gen i3 / 4GB RAM / 1TB HDD / 15.6"" HD Display","Rs. 54,000"
"ASUS TUF Gaming F15-FX506HM / i5 11th Gen 11400H /Nvidia Rtx 3060 6GB / 8GB RAM / 512GB SSD / 15.6"" IPS 144Hz","Rs. 180,000"
Acer Nitro 5 2021 i5 11TH GEN/ GTX 1650,"Rs. 120,000"
"Dell Alienware M15 R6 i7 11800H / RTX 3070 GDDR6 / 32GB RAM / 1TB SSD / 15.6"" QHD 240Hz Display","Rs. 388,800"
Dell Vostro 3510  Core i3  11th Gen   4GB RAM  256GB HDD  15.6” FHD Display,"Rs. 62,000"
MSI Creator M16 A11UC | 11th Gen i7-11800H | 16GB | 512GB | NVIDIA RTX 3050-4GB | Win 10,"Rs. 196,700"
Acer Predator Helios 300 Neo 16 i7 13th Gen RTX 4050 16GB RAM 1TB SSD 165Hz,"Rs. 212,990"
